State,City,Sulfur dioxide(SO2)-Air Quality in Industrial Areas,Sulfur dioxide(SO2)-Air Quality in Residential Areas,Nitrogen dioxide(NO2)-Air Quality in Industrial Areas,Nitrogen dioxide(NO2)-Air Quality in Residential Areas,Respirable Suspended Particulate Matter(RSPM)-Air Quality in Industrial Areas,Respirable Suspended Particulate Matter(RSPM)-Air Quality in Residential Areas,Suspended Particulate Matter(SPM)-Air Quality in Industrial Areas,Suspended Particulate Matter(SPM)-Air Quality in Residential Areas
Orissa,Bhubaneshwar,NA,Low,NA,Low,NA,High,NA,High
Orissa,Cuttack,NA,Low,NA,Moderate,NA,High,NA,Critical
Orissa,Rourkela,NA,Low,NA,Low,NA,Critical,NA,High
Orissa,Talcher,Low,NA,Low,NA,Moderate,NA,Moderate,NA
Orissa,Rayagada,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Orissa,Sambalpur,NA,Low,NA,Low,NA,Moderate,NA,Moderate
Orissa,Berhampur,NA,Low,NA,Low,NA,High,NA,High
Orissa,Balasore,NA,Low,NA,Low,NA,High,NA,Moderate
Pondicherry,Pondicherry,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Punjab,Gobindgarh,Low,Low,Low,Moderate,Critical,Critical,NA,NA
Punjab,Jalandhar,Low,Low,Low,Moderate,Critical,Critical,NA,NA
Punjab,Ludhiana,Low,Low,Moderate,Moderate,Critical,Critical,NA,NA
Punjab,Naya Nangal,NA,Low,NA,Low,NA,Critical,NA,Critical
Punjab,Amritsar,Low,Low,Low,Moderate,NA,NA,High,Critical
Punjab,Khanna,Low,Low,Low,Moderate,Critical,Critical,NA,NA
Punjab,Derabassi,Low,NA,Low,NA,NA,NA,Moderate,NA
Punjab,Bhatinda,Low,NA,Low,NA,NA,NA,Moderate,NA
Rajasthan,Alwar,Low,Low,Low,Low,Moderate,Critical,Moderate,Critical
Rajasthan,Jaipur,Low,Low,Low,Moderate,Critical,Critical,High,Critical
Rajasthan,Kota,Low,Low,Low,Low,Moderate,Critical,Moderate,Critical
Rajasthan,Udaipur,Low,Low,Low,Low,High,High,High,Critical
Rajasthan,Jodhpur,Low,Low,Low,Low,High,Critical,High,Critical
Tamil Nadu,Chennai,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate
Tamil Nadu,Coimbatore,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate
Tamil Nadu,Madurai,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Tamil Nadu,Salem,NA,Low,NA,Low,NA,Moderate,NA,Moderate
Tamil Nadu,Tuticorin,Low,Low,Low,Low,Moderate,Critical,Moderate,High
Uttaranchal,Dehradun,NA,Low,NA,Low,NA,Critical,NA,Critical
Uttar Pradesh,Anpara,Low,NA,Low,NA,High,NA,Moderate,NA
Uttar Pradesh,Gajraula,Low,NA,Low,NA,Moderate,NA,Moderate,NA
Uttar Pradesh,Kanpur,Low,Low,Low,Low,Critical,Critical,High,Critical
Uttar Pradesh,Firozabad,Low,Low,Low,Moderate,Critical,Critical,High,Critical
Uttar Pradesh,Lucknow,Low,Low,Low,Moderate,Critical,Critical,High,Critical
Uttar Pradesh,Noida,Low,Low,Moderate,Moderate,High,Critical,High,Critical
Uttar Pradesh,Varanasi,NA,Low,NA,Low,NA,Critical,NA,Critical
Uttar Pradesh,Ghaziabad,Low,NA,Low,NA,Critical,NA,High,NA
Uttar Pradesh,Jhansi,NA,Low,NA,Low,NA,Critical,NA,Critical
Uttar Pradesh,Khurja,Moderate,Moderate,Low,Moderate,Critical,Critical,High,Critical
Uttar Pradesh,Meerut,NA,Low,NA,Moderate,NA,Critical,NA,NA
West Bengal,Asansol,Low,NA,Moderate,NA,Moderate,NA,Moderate,NA
West Bengal,Durgapur,Low,Low,Moderate,Moderate,High,High,Moderate,High
West Bengal,Haldia,Low,NA,Moderate,NA,Moderate,NA,Low,NA
West Bengal,Howrah,Low,Low,High,High,High,Critical,Moderate,Critical
West Bengal,Kolkata,Low,Low,Moderate,High,High,Critical,Moderate,Critical
